ALLWISE_RAJ2000,ALLWISE_DEJ2000,ALLWISE_W1mag,ALLWISE_W2mag,ALLWISE_W3mag,ALLWISE_W4mag,ALLWISE_Jmag,ALLWISE_Hmag,ALLWISE_Kmag,APASS_RAJ2000,APASS_DEJ2000,APASS_g'mag,APASS_r'mag,APASS_i'mag,OB star?
0.232902078,0.110834156,0.390891181,0.40583776,0.521281535,0.60660273,0.564328145,0.493724739,0.477514252,0.23290208,0.110833942,0.889652211,0.89094533,0.781533316,0
0.233192503,0.111009201,0.513443041,0.531367516,0.687819223,0.761895979,0.69599218,0.6361767,0.626363572,0.233192401,0.111008915,0.933018463,0.981681853,0.894903618,0
0.232596853,0.111949818,0.315100243,0.310153405,0.309859155,0.280984876,0.521167005,0.418917961,0.391301288,0.232596277,0.111949615,1.153542293,1.125664389,0.893143209,0
0.233195606,0.109510875,0.562232008,0.580194592,0.758860857,0.799704906,0.747800587,0.695525775,0.687170103,0.233195384,0.109510816,0.924087591,1.007687927,0.935569052,0
0.233671237,0.110845813,0.380577124,0.392884856,0.50626838,0.595721136,0.557410332,0.481883287,0.465761137,0.233671181,0.110845757,0.921253757,0.90404328,0.791655664,0
0.233761387,0.110781868,0.588538649,0.607115144,0.796161585,0.778402803,0.78148733,0.726866624,0.715110141,0.233761282,0.11078163,0.966766853,1.059984814,0.978170936,0
0.232426559,0.112415513,0.452543748,0.469289083,0.60037146,0.693009959,0.652379878,0.576331277,0.558096981,0.232426408,0.112415262,1.016058394,1.03435839,0.910747293,0
0.232859856,0.108818948,0.532796384,0.549931356,0.710571119,0.744928071,0.712008422,0.660072325,0.650643958,0.232859784,0.108818797,0.914297982,0.976176917,0.905642109,0
0.23331386,0.108828877,0.559856299,0.57780696,0.748800495,0.781538178,0.752838559,0.691200454,0.681399113,0.23331359,0.108828691,0.973465006,1.045368261,0.9581903,0
0.234185283,0.11043166,0.531869278,0.548260013,0.706701749,0.779601623,0.709376645,0.663475856,0.650503202,0.234185546,0.11043119,0.912494633,0.978264996,0.904321803,0
0.233669607,0.108333146,0.524162707,0.542111861,0.699427333,0.77167097,0.704639447,0.646529107,0.637835175,0.233669458,0.108333092,0.927866037,0.986617312,0.900889006,0
0.231644728,0.109367633,0.29001043,0.294693488,0.387865655,0.452969384,0.443491992,0.373679359,0.359208952,0.231644569,0.109367578,0.798969515,0.767843584,0.666490626,0
0.234207277,0.109621076,0.547340364,0.564854056,0.732471754,0.767244559,0.727799083,0.677728143,0.667182771,0.234207241,0.109620997,0.920910262,0.987851177,0.910571253,0
0.231800815,0.108684528,0.533491714,0.551483316,0.708791209,0.795278495,0.714715392,0.664610367,0.658667042,0.231800862,0.108683996,0.895835122,0.971905847,0.893055189,0
0.231544236,0.112318633,0.522134662,0.53309855,0.65872156,0.743452601,0.698247989,0.652059845,0.640931804,0.231544458,0.112318279,0.890253328,0.951594533,0.880292228,0
0.234305938,0.109189316,0.551686175,0.569032412,0.736495898,0.82718554,0.737799835,0.685882436,0.67675417,0.234305751,0.109189232,0.944182052,1.022209567,0.938033624,0
0.231596807,0.108573738,0.577876927,0.59643049,0.766212661,0.80791221,0.769757125,0.718145076,0.710324442,0.231596594,0.108573939,0.958608845,1.05523918,0.969632955,0
0.234326449,0.112812982,0.553888052,0.573091387,0.748413558,0.800350424,0.724490563,0.680706233,0.673727919,0.234326169,0.112812896,0.896951481,0.970292331,0.908722824,0
0.234284419,0.108477769,0.362092942,0.369784516,0.482587835,0.571652527,0.518384841,0.452882365,0.439791681,0.234284293,0.108477419,0.855045084,0.824886105,0.768594314,0
0.234397101,0.112952992,0.333642369,0.342744583,0.437393592,0.508207304,0.523197233,0.42898674,0.405447252,0.234396344,0.112952403,1.007556891,0.963838269,0.805826952,0
0.234715004,0.111134555,0.228647584,0.207604608,0.240829593,0.244190336,0.416723062,0.320640998,0.290238581,0.234714648,0.111134542,1.295234006,1.214502658,0.884165126,0
0.231170233,0.109541054,0.526538417,0.54282815,0.706856524,0.786702324,0.712459583,0.658299653,0.644521078,0.231170053,0.109541012,0.951051954,1.012718299,0.921925887,0
0.233323497,0.114701627,0.55064318,0.569151794,0.739514007,0.772408705,0.733664185,0.681415302,0.671194313,0.233323328,0.11470145,0.931043366,1.001613516,0.922894111,0
0.232734872,0.106745715,0.560203963,0.578165105,0.748336171,0.744835854,0.745018422,0.695383961,0.685692167,0.232734537,0.106745363,0.937226277,1.020690964,0.944811196,0
0.23144443,0.113480302,0.298991772,0.295946995,0.353273487,0.376337145,0.568839762,0.447209814,0.393201492,0.231444232,0.113480057,1.289566337,1.133257403,0.931256051,0
0.232117342,0.106984407,0.539981458,0.556079508,0.722798328,0.76872003,0.726821566,0.672551939,0.659441199,0.232117622,0.106984483,0.960412194,1.040812453,0.936273215,0
0.234753709,0.109340564,0.608413489,0.628006924,0.809549605,0.772224271,0.801488834,0.749485925,0.741220353,0.23475361,0.109340311,0.974667239,1.069665907,0.997359387,0
0.231035861,0.109280253,0.497682234,0.520802244,0.68077697,0.756455183,0.704188285,0.6444019,0.630656626,0.231035755,0.109280583,0.936968656,0.992501898,0.904761905,0
0.23474029,0.112528547,0.20593348,0.187488808,0.241680854,0.261342678,0.396120009,0.285187549,0.270462383,0.234740395,0.112528085,0.928295406,0.853264996,0.650470909,0
0.23414504,0.114270349,0.535577703,0.55178177,0.715214363,0.781907045,0.72027972,0.664681273,0.653177564,0.23414491,0.11427026,0.948733362,1.015850418,0.9288795,0
0.23383187,0.114777603,0.582048905,0.599773175,0.775421761,0.796108447,0.772915257,0.720343189,0.711309733,0.233831794,0.114777487,0.969514813,1.062927107,0.976322507,0
0.234338005,0.10759997,0.547630085,0.563839312,0.73347779,0.795462929,0.723663433,0.676310005,0.666760504,0.234338014,0.107599951,0.908973809,0.984149582,0.908722824,0
0.231832746,0.114831812,0.240004636,0.23380887,0.259634731,0.229988934,0.417023836,0.333475147,0.290379337,0.231832588,0.114831382,1.08733362,1.050018983,0.773787519,0
0.233955297,0.106732377,0.563332947,0.576135618,0.712660579,0.755994098,0.749379653,0.701978302,0.693292983,0.233955356,0.106732716,0.937483899,1.026955201,0.940322155,0
0.233974928,0.106749814,0.575617105,0.592968424,0.769075994,0.774529694,0.764944733,0.713181593,0.703427405,0.233974804,0.106749569,0.962301417,1.052486712,0.964791832,0
0.234406483,0.114600832,0.32442925,0.327941264,0.42733323,0.498247879,0.501541469,0.412961781,0.393905271,0.234406618,0.114600299,0.928037784,0.876993166,0.763137048,0
0.230552187,0.111700112,0.491134546,0.50784934,0.656477325,0.795278495,0.661327919,0.610579309,0.599760715,0.230552338,0.111699951,0.867754401,0.920842825,0.849573101,0
0.23529451,0.111323808,0.519295399,0.536202471,0.696563999,0.771855404,0.687119332,0.640785648,0.632416074,0.235294273,0.111323733,0.878917991,0.920083523,0.858815245,0
0.234592964,0.107111908,0.589060146,0.607413598,0.782541402,0.768074511,0.785247011,0.729773807,0.719755085,0.234593028,0.107112488,0.994589953,1.073272589,0.984420386,0
0.235155027,0.112767224,0.516861745,0.53387453,0.689676521,0.80671339,0.698398376,0.638800255,0.630727004,0.23515509,0.112767217,0.912752254,0.971621109,0.892263005,0
0.231915442,0.10581358,0.522366439,0.540201755,0.697260486,0.760236075,0.707797579,0.646670921,0.637201774,0.231915445,0.10581365,0.934821812,0.998291572,0.912771763,0
0.235173121,0.113498769,0.466218565,0.482122605,0.62536759,0.741608263,0.62771637,0.576898532,0.573157858,0.235173073,0.113498675,0.856848433,0.877277904,0.809875891,0
0.234171226,0.105815115,0.345057365,0.355458724,0.461461074,0.547768351,0.523723588,0.442742679,0.426631009,0.234171236,0.105815008,0.903392014,0.883921792,0.785494235,0
0.232120693,0.116392818,0.523119713,0.540500209,0.697956973,0.802379196,0.710880517,0.651847125,0.639805757,0.232120586,0.116392652,0.94366681,1.013762339,0.918845172,0
0.230208999,0.111835714,0.566577819,0.584074494,0.769075994,0.793710808,0.74870291,0.70020563,0.691815047,0.230209038,0.111835704,0.934220696,1.01594533,0.944459115,0
0.230619575,0.11406236,0.243191563,0.246164866,0.323866275,0.376982663,0.416647868,0.333687868,0.303962277,0.230619239,0.114062075,0.86680979,0.809415338,0.674764545,0
