_RAJ2000,_DEJ2000,rest,g,r,i,J,H,K,W1,W2,W3,W4
45.00497424,0.019877,317.5087145,7.475221752,6.567221752,6.211221752,5.020221752,4.445221752,4.365221752,4.178221752,4.215221752,4.032221752,0.985221752
45.00497424,0.019877,317.5087145,7.463221752,6.533221752,6.162221752,5.020221752,4.445221752,4.365221752,4.178221752,4.215221752,4.032221752,0.985221752
45.00497424,0.019877,317.5087145,7.442221752,6.504221752,6.193221752,5.020221752,4.445221752,4.365221752,4.178221752,4.215221752,4.032221752,0.985221752
45.04828219,0.048256223,623.2357246,6.812738302,5.958738302,5.564738302,4.380738302,3.900738302,3.725738302,3.708738302,3.727738302,3.080738302,0.181738302
45.04828219,0.048256223,623.2357246,6.814738302,5.910738302,5.557738302,4.380738302,3.900738302,3.725738302,3.708738302,3.727738302,3.080738302,0.181738302
45.04828219,0.048256223,623.2357246,6.822738302,6.022738302,5.622738302,4.380738302,3.900738302,3.725738302,3.708738302,3.727738302,3.080738302,0.181738302
45.04828219,0.048256223,623.2357246,6.804738302,6.009738302,5.674738302,4.380738302,3.900738302,3.725738302,3.708738302,3.727738302,3.080738302,0.181738302
45.02361786,0.068420242,842.2876167,8.027697921,6.890697921,6.474697921,5.101697921,4.513697921,4.396697921,4.380697921,4.424697921,3.029697921,-0.728302079
44.99327098,0.076334936,1466.546857,6.007520283,5.380520283,5.116520283,4.089520283,3.725520283,3.640520283,3.600520283,3.556520283,1.282520283,-1.613479717
44.99327098,0.076334936,1466.546857,5.715520283,5.338520283,5.125520283,4.089520283,3.725520283,3.640520283,3.600520283,3.556520283,1.282520283,-1.613479717
44.99606024,0.084919813,2386.018122,4.950631311,4.323631311,4.059631311,3.197631311,3.044631311,2.942631311,2.851631311,2.812631311,0.840631311,-2.559368689
44.99606024,0.084919813,2386.018122,4.658631311,4.281631311,4.068631311,3.197631311,3.044631311,2.942631311,2.851631311,2.812631311,0.840631311,-2.559368689
45.13214375,0.137850966,377.8314633,4.881509399,4.473509399,4.325509399,3.433509399,3.120509399,3.039509399,3.010509399,3.037509399,2.916509399,1.041509399
45.16465305,0.15450184,1664.740129,4.743267758,4.183267758,3.802267758,2.978267758,2.673267758,2.571267758,2.544267758,2.572267758,1.548267758,-2.246732242
45.16465305,0.15450184,1664.740129,4.697267758,4.183267758,3.994267758,2.978267758,2.673267758,2.571267758,2.544267758,2.572267758,1.548267758,-2.246732242
45.11664868,0.144719934,1604.872417,4.636797436,4.154797436,3.975797436,2.989797436,2.586797436,2.475797436,2.481797436,2.461797436,1.553797436,-1.872202564
45.11664868,0.144719934,1604.872417,4.603797436,4.126797436,3.873797436,2.989797436,2.586797436,2.475797436,2.481797436,2.461797436,1.553797436,-1.872202564
45.03360727,0.128554084,557.3121555,6.562507422,5.820507422,5.506507422,4.252507422,3.817507422,3.658507422,3.594507422,3.612507422,3.056507422,-0.031492578
45.05816746,0.127403796,564.7071187,4.504883688,3.655883688,3.497883688,2.211883688,1.767883688,1.590883688,1.532883688,1.601883688,1.497883688,0.287883688
45.05816746,0.127403796,564.7071187,4.534883688,3.709883688,3.424883688,2.211883688,1.767883688,1.590883688,1.532883688,1.601883688,1.497883688,0.287883688
45.05595246,0.146111601,908.0012646,5.917567733,5.363567733,5.127567733,4.135567733,3.723567733,3.553567733,3.591567733,3.615567733,2.936567733,-0.920432267
45.05595246,0.146111601,908.0012646,5.929567733,5.359567733,5.143567733,4.135567733,3.723567733,3.553567733,3.591567733,3.615567733,2.936567733,-0.920432267
45.05595246,0.146111601,908.0012646,5.913567733,5.368567733,5.083567733,4.135567733,3.723567733,3.553567733,3.591567733,3.615567733,2.936567733,-0.920432267
45.063479,0.195651356,2100.127063,4.570772143,4.071772143,3.887772143,2.992772143,2.698772143,2.471772143,2.538772143,2.542772143,0.635772143,-2.418227857
45.063479,0.195651356,2100.127063,4.538772143,3.985772143,3.671772143,2.992772143,2.698772143,2.471772143,2.538772143,2.542772143,0.635772143,-2.418227857
44.89480104,0.114033983,974.470426,4.752156683,4.207156683,3.979156683,3.237156683,2.924156683,2.853156683,2.788156683,2.809156683,2.031156683,-1.311843317
44.89480104,0.114033983,974.470426,4.784156683,4.328156683,4.170156683,3.237156683,2.924156683,2.853156683,2.788156683,2.809156683,2.031156683,-1.311843317
44.87539138,0.11820409,1530.327494,6.039078096,5.351078096,5.040078096,3.991078096,3.693078096,3.672078096,3.452078096,3.518078096,1.904078096,-1.839921904
44.87060002,0.172426723,1417.491703,7.194397372,6.171397372,5.793397372,4.759397372,4.036397372,3.913397372,3.737397372,3.691397372,1.923397372,-1.584602628
44.92562188,0.168833342,2198.092211,5.162770463,4.527770463,4.244770463,3.310770463,2.911770463,2.875770463,2.874770463,2.902770463,1.044770463,-2.861229537
44.93764252,0.188397656,320.1197401,7.179437722,6.384437722,6.083437722,4.874437722,4.352437722,4.267437722,4.196437722,4.250437722,3.779437722,0.903437722
44.93764252,0.188397656,320.1197401,7.188437722,6.355437722,6.083437722,4.874437722,4.352437722,4.267437722,4.196437722,4.250437722,3.779437722,0.903437722
